Name,Count,Organization,Limit,Description
Hypervisors,1,Alpha Bit Soup,Unlimited,All hypervisors
Guests,1,Alpha Bit Soup,Unlimited,All guests
α alpha,1,Alpha Bit Soup,Unlimited,
β beta,1,Alpha Bit Soup,Unlimited,
γ gamma,1,Alpha Bit Soup,Unlimited,
δ delta,1,Alpha Bit Soup,Unlimited,
ε epsilon,1,Alpha Bit Soup,Unlimited,
ζ zeta,1,Alpha Bit Soup,Unlimited,
η eta,1,Alpha Bit Soup,Unlimited,
θ theta,1,Alpha Bit Soup,Unlimited,
ι iota,1,Alpha Bit Soup,Unlimited,
κ kappa,1,Alpha Bit Soup,Unlimited,
λ lambda,1,Alpha Bit Soup,Unlimited,
μ mu,1,Alpha Bit Soup,Unlimited,
ν nu,1,Alpha Bit Soup,Unlimited,
ξ xi,1,Alpha Bit Soup,Unlimited,
ο omicron,1,Alpha Bit Soup,Unlimited,
π pi,1,Alpha Bit Soup,Unlimited,
ρ rho,1,Alpha Bit Soup,Unlimited,
σ sigma,1,Alpha Bit Soup,Unlimited,
τ tau,1,Alpha Bit Soup,Unlimited,
υ upsilon,1,Alpha Bit Soup,Unlimited,
φ phi,1,Alpha Bit Soup,Unlimited,
χ chi,1,Alpha Bit Soup,Unlimited,
ψ psi,1,Alpha Bit Soup,Unlimited,
ω omega,1,Alpha Bit Soup,Unlimited,
